Ano,Concentração ,Anomalia 
1958,315.24,0.07
1959,315.97,0.03
1960,316.91,-0.02
1961,317.64,0.05
1962,318.45,0.03
1963,318.99,0.06
1964,319.62,-0.20
1965,320.04,-0.10
1966,321.38,-0.05
1967,322.16,-0.02
1968,323.05,-0.07
1969,324.62,0.07
1970,325.68,0.02
1971,326.32,-0.09
1972,327.45,0.01
1973,329.68,0.15
1974,330.18,-0.07
1975,331.12,-0.02
1976,332.04,-0.11
1977,333.83,0.18
1978,335.40,0.07
1979,336.84,0.17
1980,338.75,0.27
1981,340.11,0.33
1982,341.45,0.13
1983,343.05,0.30
1984,344.65,0.15
1985,346.12,0.12
1986,347.42,0.19
1987,349.19,0.33
1988,351.57,0.41
1989,353.12,0.29
1990,354.39,0.44
1991,355.61,0.43
1992,356.45,0.23
1993,357.10,0.24
1994,358.83,0.32
1995,360.82,0.46
1996,362.61,0.35
1997,363.73,0.48
1998,366.70,0.64
1999,368.38,0.42
2000,369.55,0.42
2001,371.14,0.55
2002,373.28,0.63
2003,375.80,0.62
2004,377.52,0.55
2005,379.80,0.69
2006,381.90,0.63
2007,383.79,0.66
2008,385.60,0.54
2009,387.43,0.64
2010,389.90,0.71
2011,391.65,0.60
2012,393.85,0.63
2013,396.52,0.65
2014,398.65,0.74
2015,400.83,0.87
2016,404.24,0.99
